,Match,Definition
0,gender analysis''--(A) means,"Gender analysis.--The term ``gender analysis''--(A) means a socioeconomic analysis of available or gathered quantitative and qualitative information to identify, understand, and explain gaps between men and women, which typically involves examining--(i) differences in the status of women and men and differential access to and control over assets, resources, education, opportunities, and services;(ii) the influence of gender roles, structural barriers, and norms on the division of time between paid, unpaid work (including the subsistence production and care for family members), and volunteer activities;(iii) the influence of gender roles, structural barriers, and norms on leadership roles and decision making; constraints, opportunities, and entry points for narrowing gender gaps and empowering women; and(iv) potential differential impacts of development policies and programs on men and women, including unintended or negative consequences; and(B) includes conclusions and recommendations to enable development policies and programs--(i) to narrow gender gaps; and(ii) to improve the lives of women and girls.(5) Office.--The term ``Office'' means the Office of Global Women's Issues established by the Secretary of State pursuant to section 202(a).(6)"
1,orientation includes,"An explicit and comprehensive national solution is needed to address this discrimination, including the full range of remedies available under the Civil Rights Act of 1964.(12) Discrimination based on sexual orientation includes discrimination based on an individual's actual or perceived romantic, emotional, physical, or sexual attraction to other persons, or lack thereof, on the basis of gender."
2,gender identity' means,"Gender identity.--The term `gender identity' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth."
3,orientation' means,"``(5) Sexual orientation.--The term `sexual orientation' means homosexuality, heterosexuality, or bisexuality."
4,gender transition procedure' means,"In general.--The term `gender transition procedure' means any medical or surgical service which seeks to alter or remove physiological or anatomical characteristics or features which are typical for the individual's biological sex, or to instill or create physiological or anatomical characteristics which resemble a sex different from the individual's birth sex, for the purpose of gender transition, including--``(I) physician's services and inpatient and outpatient hospital services, including gender transition surgery, and``(II) prescribed drugs related to gender transition, including puberty-blocking drugs, cross-sex hormones, or other mechanisms to promote the development of feminizing or masculinizing features (in the opposite sex).``(ii) Exceptions.--Such term does not include--``(I) services for treatment of a medically-verifiable disorder of sex development, including--``(aa) external biological sex characteristics which are irresolvably ambiguous, such as presence of 46 XX chromosomes with virilization, 46 XY chromosomes with undervirilization, or both ovarian and testicular tissue, or``(bb) other physician-diagnosed disorder of sexual development, with respect to which the physician has determined through genetic or biochemical testing that the individual does not have normal sex chromosome structure, sex steroid hormone production, or sex steroid hormone action for a biological male or biological female, or``(II) treatment of any infection, injury, disease, or disorder caused or exacerbated by the performance of any gender transition procedure, whether or not the gender transition procedure was performed in accordance with State and Federal law or whether not a deduction for expenses in connection with the gender transition procedure is allowable under this chapter."
5,gender' means,"Gender.--The term `gender' means the psychological, behavioral, social, and cultural aspects of being male or female."
6,gender transition' means,"Gender transition.--The term `gender transition' means the process in which an individual goes from identifying with and living as a gender that corresponds to his or her biological sex to identifying with and living as a gender different from his or her biological sex, and may involve social, legal, or physical changes."
7,gender transition surgery' means,"In general.--The term `gender transition surgery' means any surgical service, including genital or non-genital surgery, performed for the purpose of assisting an individual with a gender transition."
8,-sex hormones' means,"hormones.--The term `cross-sex hormones' means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females, and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males."
9,sex hormones' means,"hormones.--The term `cross-sex hormones' means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females, and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males."
10,cross-sex hormones' means,"hormones.--The term `cross-sex hormones' means testosterone or other androgens given to biological females at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological females, and estrogen given to biological males at doses which are profoundly larger or more potent than would normally occur naturally in healthy biological males."
11,sex'' means,"Biological sex.--The term ``biological sex'' means the biological indication of male and female in the context of reproductive potential or capacity, such as sex chromosomes, naturally occurring sex hormones, gonads, and nonambiguous internal and external genitalia present at birth, without regard to a person's psychological, chosen, or subjective experience of gender.(2)"
12,biological sex'' means,"Biological sex.--The term ``biological sex'' means the biological indication of male and female in the context of reproductive potential or capacity, such as sex chromosomes, naturally occurring sex hormones, gonads, and nonambiguous internal and external genitalia present at birth, without regard to a person's psychological, chosen, or subjective experience of gender.(2)"
13,gender identity'' means,"Gender identity.--The term ``gender identity'' means a person's self-perception of their gender or claimed gender, regardless of the person's biological sex.(5)"
14,gender transition'' includes,In general.--The term ``gender transition'' includes both medical transition and social transition.(B) Medical transition.--The term ``medical transition'' means any medical or surgical intervention undertaken to alter the body of a person in order to assert an identity incongruent with biological sex or undertaken to create or facilitate the development of physiological or anatomical characteristics that resemble a sex different from the person's biological sex.(C)
15,gender identity'' means,"Gender identity.--The term ``gender identity'' means an individual's sense of being male, female, transgender, or another gender, as distinct from the individual's sex assigned at birth.(4)"
16,gender identity'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth.(5) National gender equity infrastructure.--The term ``national gender equity infrastructure'' means the horizontal and vertical network of title IX coordinators and their allies who work to advance gender equity and eliminate discrimination in the United States.(6)"
17,gender equity infrastructure'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth.(5) National gender equity infrastructure.--The term ``national gender equity infrastructure'' means the horizontal and vertical network of title IX coordinators and their allies who work to advance gender equity and eliminate discrimination in the United States.(6)"
18,orientation'' means,"Sexual orientation.--The term ``sexual orientation'' means homosexuality, heterosexuality, or bisexuality.(9)"
19,gender identity'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the designated sex of the individual at birth.(5) Religion; sex (including sexual orientation and gender identity), or marital status.--The term ``religion, sex (including sexual orientation and gender identity), or marital status'', used with respect to an individual, includes--(A) the religion, sex (including sexual orientation and gender identity), or marital status, respectively, of another person with whom the individual is or has been associated; and(B) a perception or belief, even if inaccurate, concerning the religion, sex (including sexual orientation and gender identity), or marital status, respectively, of the individual.(6) Secretary.--The term ``Secretary'' means the Secretary of Health and Human Services.(7)"
20,orientation'' means,"Sexual orientation.--The term ``sexual orientation'' means homosexuality, heterosexuality, or bisexuality.(9) State.--The term ``State'' means each of the 50 States of the United States, the District of Columbia, the Commonwealth of Puerto Rico, the United States Virgin Islands, Guam, the Commonwealth of the Northern Mariana Islands, and American Samoa."
21,gender identity'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth.(3) Person.--The term ``person'' means any individual, partnership, corporation, cooperative, association, or any other entity.(4)"
22,orientation'' means,"Sexual orientation.--The term ``sexual orientation'' means homosexuality, heterosexuality, or bisexuality."
23,sex' means,"Biological sex.--The term `biological sex' means the biological classification of male and female in the context of reproductive potential or capacity, as indicated by sex chromosomes, naturally occurring sex hormones, gonads, and nonambiguous internal and external genitalia present at birth, without regard to a person's psychological, chosen, or subjectively experienced sense of identity or gender."
24,biological sex' means,"Biological sex.--The term `biological sex' means the biological classification of male and female in the context of reproductive potential or capacity, as indicated by sex chromosomes, naturally occurring sex hormones, gonads, and nonambiguous internal and external genitalia present at birth, without regard to a person's psychological, chosen, or subjectively experienced sense of identity or gender."
25,gender identity' means,"Gender identity.--The term `gender identity' means a person's self-perceived identity, self-concept, or asserted gender, regardless of the person's biological sex."
26,gender identity'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, or mannerisms or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth.(3) Intersex.--The term ``intersex'' means individuals born with sex characteristics (including genitals, gonads, or chromosome patterns) that vary from typical binary notions of male or female bodies and is an umbrella term used to describe a wide range of natural bodily variations.(4) LGBTQI.--The term ``LGBTQI'' means lesbian, gay, bisexual, transgender, queer, or intersex.(5)"
27,orientation'' means,"Sexual orientation.--The term ``sexual orientation'' means actual or perceived homosexuality, heterosexuality, or bisexuality."
28,gender expression'' means,"Gender expression.--The term ``gender expression'' means the expression of one's gender, such as through behavior, clothing, haircut, or voice, and which may or may not conform to socially defined behaviors and characteristics typically associated with being either masculine or feminine.(7)"
29,gender identity'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth.(8) Inclusive.--The term ``inclusive'' means content and skills that ensure marginalized young people are valued, respected, centered, and supported in sex education instruction and materials.(9) Institution of higher education.--The term ``institution of higher education'' has the meaning given the term in section 101 of the Higher Education Act of 1965 (20 U.S.C. 1001).(10) Interpersonal violence.--The term ``interpersonal violence'' means abuse, assault, bullying, dating violence, domestic violence, harassment, intimate partner violence, or stalking.(11)"
30,sex education'' means,"Sex education.--The term ``sex education'' means high quality teaching and learning that--(A) is delivered, to the maximum extent practicable, following the National Sexuality Education Standards of the Future of Sex Ed Initiative;(B) is about a broad variety of topics related to sex and sexuality, including--(i) puberty and adolescent development;(ii) sexual and reproductive anatomy and physiology;(iii) sexual orientation, gender identity, and gender expression;(iv) contraception, pregnancy, and reproduction;(v) HIV and other STIs;(vi) consent and healthy relationships; and(vii) interpersonal violence;(C) explores values and beliefs about such topics; and(D) helps young people in gaining the skills that are needed to navigate relationships and manage one's own sexual health.(16)"
31,orientation'' means,"Sexual orientation.--The term ``sexual orientation'' means an individual's romantic, emotional, or sexual attraction to other people.(19)"
32,gender identity'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, or mannerisms or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth.(3) LGBTQI.--The term ``LGBTQI'' means lesbian, gay, bisexual, transgender, queer, or intersex.(4)"
33,orientation'' means,"Member of a vulnerable group.--The term ``member of a vulnerable group'' means an alien who--(A) is younger than 21 years of age or older than 60 years of age;(B) is pregnant;(C) identifies as lesbian, gay, bisexual, transgender, or intersex;(D) is victim or witness of a crime;(E) has filed a nonfrivolous civil rights claim in Federal or State court;(F) has a serious mental or physical illness or disability;(G) has been determined by an asylum officer in an interview conducted under section 235(b)(1)(B) of the Immigration and Nationality Act (8 U.S.C. 1225(b)(1)(B)) to have a credible fear of persecution; or(H) has been determined by an immigration judge or by the Secretary of Homeland Security, based on information obtained during intake, from the alien's attorney or legal service provider, or through credible self-reporting, to be--(i) experiencing severe trauma; or(ii) a survivor of torture or gender-based violence.(5) Sexual orientation.--The term ``sexual orientation'' means actual or perceived homosexuality, heterosexuality, or bisexuality."
34,gender identity' means,"Gender identity.--The term `gender identity' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth."
35,orientation' means,"Sexual orientation.--The term `sexual orientation' means homosexuality, heterosexuality, or bisexuality."
36,"gender harassment, which includes","According to the report issued by the National Academies of Sciences, Engineering, and Medicine in 2018 entitled ``Sexual Harassment of Women: Climate, Culture, and Consequences in Academic Sciences, Engineering, and Medicine''--(A) sexual harassment is pervasive in institutions of higher education;(B) the most common type of sexual harassment is gender harassment, which includes verbal and nonverbal behaviors that convey insulting, hostile, and degrading attitudes about members of one gender;(C) 58 percent of employees in the academic workplace experience sexual harassment, the second highest rate when compared to the military, the private sector, and Federal, State, and local government;(D) women of color are more likely to experience sexual harassment and to feel unsafe at work than white women, white men, or men of color;(E) the training for each individual who has a doctor of philosophy in the science, technology, engineering, and mathematics fields is estimated to cost approximately $500,000; and(F) attrition of an individual so trained results in a loss of talent and money.(2) Sexual harassment undermines career advancement for women.(3)"
37,gender identity'--``(A) means,"908A. DEFINITIONS.``For purposes of this title--``(1) the term `gender identity'--``(A) means a person's internal sense of gender, which could be female, male, or another gender;``(B) includes a person's gender expression, which is how they present their gender identity outwardly, including through appearance, mannerisms, dress, or other gender-related characteristics; and``(C) may or may not match their designated sex at birth;``(2) the term `on the basis of sex' includes, inter alia, on the basis of, perceived or actual--``(A) sex stereotypes;``(B) pregnancy or related conditions, including--``(i) childbirth, termination of pregnancy, or lactation;``(ii) medical conditions related to pregnancy, childbirth, termination of pregnancy, or lactation; or``(iii) recovery from pregnancy, childbirth, termination of pregnancy, lactation, or their related medical conditions;``(C) sexual orientation;``(D) gender identity; or``(E) sex characteristics, including inter-sex traits;``(3)"
38,sex' includes,"908A. DEFINITIONS.``For purposes of this title--``(1) the term `gender identity'--``(A) means a person's internal sense of gender, which could be female, male, or another gender;``(B) includes a person's gender expression, which is how they present their gender identity outwardly, including through appearance, mannerisms, dress, or other gender-related characteristics; and``(C) may or may not match their designated sex at birth;``(2) the term `on the basis of sex' includes, inter alia, on the basis of, perceived or actual--``(A) sex stereotypes;``(B) pregnancy or related conditions, including--``(i) childbirth, termination of pregnancy, or lactation;``(ii) medical conditions related to pregnancy, childbirth, termination of pregnancy, or lactation; or``(iii) recovery from pregnancy, childbirth, termination of pregnancy, lactation, or their related medical conditions;``(C) sexual orientation;``(D) gender identity; or``(E) sex characteristics, including inter-sex traits;``(3)"
39,sex-based harassment'--``(A) means,"the term `recipient' means an entity described in any of paragraphs (1) through (4) of section 908 and includes any entity that exercises controlling authority over such recipient;``(4) the term `sex-based harassment'--``(A) means conduct on the basis of sex, including conduct of a sexual nature, that unreasonably alters a person's ability to participate in or receive any benefit, service, or opportunity from an education program or activity that receives Federal financial assistance, including by creating an intimidating, hostile, or offensive environment; and``(B) includes an employee, agent, or other person authorized by the recipient to provide an aid, benefit, or service under the recipient's education program or activity, explicitly or impliedly conditioning the provision of such an aid, benefit, or service on a person's participation in sexual conduct; and``(5) the term `sexual orientation' includes homosexuality, heterosexuality, bisexuality, pansexuality, and asexuality.''."
40,orientation' includes,"the term `recipient' means an entity described in any of paragraphs (1) through (4) of section 908 and includes any entity that exercises controlling authority over such recipient;``(4) the term `sex-based harassment'--``(A) means conduct on the basis of sex, including conduct of a sexual nature, that unreasonably alters a person's ability to participate in or receive any benefit, service, or opportunity from an education program or activity that receives Federal financial assistance, including by creating an intimidating, hostile, or offensive environment; and``(B) includes an employee, agent, or other person authorized by the recipient to provide an aid, benefit, or service under the recipient's education program or activity, explicitly or impliedly conditioning the provision of such an aid, benefit, or service on a person's participation in sexual conduct; and``(5) the term `sexual orientation' includes homosexuality, heterosexuality, bisexuality, pansexuality, and asexuality.''."
41,sex'' means,"Biological sex.--The term ``biological sex'' means the genetic classification of an individual as male or female, as reflected in the organization of the body of such individual for a reproductive role or capacity, such as through sex chromosomes, naturally occurring sex hormones, and internal and external genitalia present at birth, without regard to the subjective sense of identity of the individual.(2) Gender-transition procedure.--(A)"
42,biological sex'' means,"Biological sex.--The term ``biological sex'' means the genetic classification of an individual as male or female, as reflected in the organization of the body of such individual for a reproductive role or capacity, such as through sex chromosomes, naturally occurring sex hormones, and internal and external genitalia present at birth, without regard to the subjective sense of identity of the individual.(2) Gender-transition procedure.--(A)"
43,sex-selection abortion' means,"``(h) Definitions.--In this section--``(1) the term `abortion' means the act of using or prescribing any instrument, medicine, drug, or any other substance, device, or means with the intent to--``(A) kill the unborn child of a woman known to be pregnant; or``(B) terminate the pregnancy of a woman known to be pregnant, with an intention other than--``(i) after viability to produce a live birth and preserve the life and health of the child born alive; or``(ii) to remove a dead unborn child; and``(2) the term `sex-selection abortion' means an abortion undertaken for purposes of eliminating an unborn child of an undesired sex.''.(b)"
44,gender expression'' means,"Gender expression.--The term ``gender expression'' means the expression of one's gender, such as through behavior, clothing, haircut, or voice, and which may or may not conform to socially defined behaviors and characteristics typically associated with being either masculine or feminine.(7)"
45,gender identity'' means,"Gender identity.--The term ``gender identity'' means the gender-related identity, appearance, mannerisms, or other gender-related characteristics of an individual, regardless of the individual's designated sex at birth.(8) Inclusive.--The term ``inclusive'' means content and skills that ensure marginalized young people are valued, respected, centered, and supported in sex education instruction and materials.(9) Institution of higher education.--The term ``institution of higher education'' has the meaning given the term in section 101 of the Higher Education Act of 1965 (20 U.S.C. 1001).(10) Interpersonal violence.--The term ``interpersonal violence'' means abuse, assault, bullying, dating violence, domestic violence, harassment, intimate partner violence, or stalking.(11)"
46,sex education'' means,"Sex education.--The term ``sex education'' means high-quality teaching and learning that--(A) is delivered, to the maximum extent practicable, following the National Sexuality Education Standards of the Future of Sex Education Initiative;(B) is about a broad variety of topics related to sex and sexuality, including--(i) puberty and adolescent development;(ii) sexual and reproductive anatomy and physiology;(iii) sexual orientation, gender identity, and gender expression;(iv) contraception, pregnancy, and reproduction;(v) HIV and other STIs;(vi) consent and healthy relationships; and(vii) interpersonal violence;(C) explores values and beliefs about such topics; and(D) helps young people in gaining the skills that are needed to navigate relationships and manage one's own sexual health.(16)"
47,orientation'' means,"Sexual orientation.--The term ``sexual orientation'' means an individual's romantic, emotional, or sexual attraction to other people.(19)"
48,sexuality education'' means,"Community organization.--The term ``community organization'' means a public health care facility or a nonprofit organization that provides health- or STI-related services according to established public health standards.(2) Comprehensive sexuality education.--The term ``comprehensive sexuality education'' means sexuality education--(A) that includes information about abstinence and about the proper use and disposal of sexual barrier protection devices; and(B) that is--(i) evidence based;(ii) medically accurate;(iii) age and developmentally appropriate;(iv) gender and identity sensitive;(v) culturally and linguistically appropriate; and(vi) structured to promote critical thinking, self-esteem, respect for others, and the development of healthy attitudes and relationships.(3) Correctional facility.--The term ``correctional facility'' means any prison, penitentiary, adult detention facility, juvenile detention facility, jail, or other facility to which individuals may be sent after conviction of a crime or act of juvenile delinquency within the United States.(4)"
49,sexuality education--(A) that includes,"Community organization.--The term ``community organization'' means a public health care facility or a nonprofit organization that provides health- or STI-related services according to established public health standards.(2) Comprehensive sexuality education.--The term ``comprehensive sexuality education'' means sexuality education--(A) that includes information about abstinence and about the proper use and disposal of sexual barrier protection devices; and(B) that is--(i) evidence based;(ii) medically accurate;(iii) age and developmentally appropriate;(iv) gender and identity sensitive;(v) culturally and linguistically appropriate; and(vi) structured to promote critical thinking, self-esteem, respect for others, and the development of healthy attitudes and relationships.(3) Correctional facility.--The term ``correctional facility'' means any prison, penitentiary, adult detention facility, juvenile detention facility, jail, or other facility to which individuals may be sent after conviction of a crime or act of juvenile delinquency within the United States.(4)"
50,gender identity'' means,"In general.--Not later than 120 days after the date of enactment of this Act, the Director of the Centers for Disease Control and Prevention shall take measures to improve the incidence of the collection of information on the sexual orientation and gender identity of deceased individuals through the National Violent Death Reporting System or any successor programs.(B) Confidentiality.--Any information collected relating to the sexual orientation or gender identity of a decedent shall be maintained in accordance with the confidentiality and privacy standards and policies for the protection of individuals applicable to all other data collected for purposes of the National Violent Death Reporting System.(2) Definitions.--In this subsection:(A) Gender identity.--The term ``gender identity'' means an individual's sense of being male, female, transgender, or another gender, as distinct from the individual's sex assigned at birth.(B)"
51,orientation'' means,"Sexual orientation.--The term ``sexual orientation'' means how a person identifies in terms of their emotional, romantic, or sexual attractions, and includes identification as straight, heterosexual, gay, lesbian, or bisexual, among other terms.(3) Authorization.--There is authorized to be appropriated $25,000,000 for fiscal year 2023 to carry out this subsection.(b) Sense of Congress.--It is the sense of Congress that--(1) the Centers for Disease Control and Prevention has made significant efforts to encourage States and other jurisdictions to collect data on sexual orientation and gender identity through the National Violent Death Reporting System; and(2) jurisdictions that participate in the collection of such data through the National Violent Death Reporting System should be commended for their participation."
